price,price_binned,price_log,host_months,host_is_superhost,host_listings_count,host_identity_verified,lat_long_interaction,accommodates,bathrooms,bedrooms_num_cap,beds_num_cap,amenities_count,has_free_parking,has_self_checkin,is_shared_bath,is_private_bath,distance_km_to_city,distance_km_to_airport,distance_km_to_yarra_ranges,room_type_Private room,room_type_Shared room,property_type_category_Hospitality,property_type_category_Rental Unit,property_type_category_Residential_misc,property_type_category_Unique,minimum_nights,maximum_nights,availability_30,availability_365,instant_bookable,listings_in_neighbourhood,number_of_reviews_ltm,listing_active_months,has_description,has_neighborhood_overview
130.0,"(102.0, 139.0]",4.867534450455582,160,1,1.0,1,-5511.5369196064,2,1.0,1.0,1.0,47,1,1,0,0,22.04152428870651,41.293218476431186,52.79472132535663,False,False,False,False,True,False,4,365,16,324,0,270,10,150.60369609856264,1,1
113.0,"(102.0, 139.0]",4.727387818712341,160,1,1.0,1,-5485.051566027857,2,1.0,1.0,2.0,61,1,0,0,1,3.7881021609009102,21.26889454123756,58.53399142125636,True,False,False,False,True,False,3,30,29,179,0,1851,9,147.84394250513347,1,1
190.0,"(180.0, 259.0]",5.247024072160486,159,1,3.0,1,-5509.775235431999,2,1.0,1.0,1.0,25,1,1,0,0,35.66124457823687,52.09443711017456,27.640952714672174,False,False,False,False,True,False,1,28,20,166,0,991,8,152.77207392197124,1,1
110.0,"(102.0, 139.0]",4.700480365792417,158,1,1.0,1,-5475.4390791916,2,1.0,1.0,1.0,44,1,0,0,0,51.11735482073455,57.97455452031777,15.78772513708604,False,False,False,False,False,True,2,14,11,135,0,991,23,156.05749486652977,1,1
90.0,"(15.999, 102.0]",4.499809670330265,146,1,2.0,1,-5484.6806515452,2,1.0,1.0,1.0,34,1,1,0,1,3.814582664933217,20.973566164869883,58.82392754700979,True,False,False,False,True,False,2,60,1,56,0,1851,13,142.32443531827516,1,1
170.0,"(139.0, 180.0]",5.135798437050262,149,1,2.0,1,-5484.9233306696,4,1.0,2.0,3.0,66,1,1,0,0,3.542618848549357,21.205588166465933,58.302601340263635,False,False,False,True,False,False,25,400,5,220,0,1851,3,136.73921971252568,1,1
146.0,"(139.0, 180.0]",4.983606621708336,28,0,86.0,1,-5480.267615651877,4,1.0,2.0,3.0,42,1,1,0,0,1.9887108931050776,18.978366916869653,54.67315500593017,False,False,False,True,False,False,2,90,4,310,1,1150,17,141.27310061601642,1,1
130.0,"(102.0, 139.0]",4.867534450455582,146,1,1.0,1,-5476.262595454799,2,1.0,1.0,1.0,31,1,0,0,0,4.2687999690627185,16.332295064684047,55.31917885040196,False,False,False,False,True,False,3,1125,2,84,1,598,19,140.09034907597535,1,1
120.0,"(102.0, 139.0]",4.787491742782046,145,0,1.0,1,-5488.901169907101,2,1.0,1.0,1.0,38,1,1,0,0,5.327700849426941,24.473387041083644,55.487424435891185,False,False,False,True,False,False,10,60,0,0,0,1851,0,119.5564681724846,1,1
68.0,"(15.999, 102.0]",4.219507705176107,146,1,1.0,1,-5475.4425453952,2,1.0,1.0,1.0,42,1,1,1,0,4.526942231000451,15.357407789776016,56.49009976262992,True,False,False,False,False,False,3,30,2,263,0,598,11,126.75154004106776,1,1
100.0,"(15.999, 102.0]",4.605170185988092,156,1,1.0,1,-5486.398895772367,2,1.0,1.0,1.0,53,1,1,0,0,3.5073556158216492,22.729317804982333,55.56392526358925,False,False,False,True,False,False,4,100,12,12,0,1851,38,154.25051334702258,1,1
150.0,"(139.0, 180.0]",5.0106352940962555,155,1,1.0,1,-5479.8122416415,2,1.0,1.0,1.0,42,0,1,0,0,1.4560439323232235,17.904849304139372,57.12096287327588,False,False,False,True,False,False,2,760,25,288,0,5913,16,145.0841889117043,1,1
117.0,"(102.0, 139.0]",4.762173934797756,166,0,1.0,1,-5480.8327588048005,2,1.0,1.0,1.0,41,1,1,0,0,1.7521906295660366,19.332782673547435,54.662478893852956,False,False,False,False,True,False,5,59,7,165,0,1150,34,152.60780287474333,1,1
191.0,"(180.0, 259.0]",5.25227342804663,144,1,6.0,1,-5482.1387575359995,4,1.0,1.0,3.0,34,0,1,0,0,0.43271432747412475,19.755539686507802,55.966414569558836,False,False,False,True,False,False,5,1125,24,140,0,5913,5,133.28952772073922,1,1
50.0,"(15.999, 102.0]",3.912023005428146,172,0,2.0,1,-5484.243510162,2,1.0,1.0,1.0,33,1,0,1,0,14.639272743458571,22.562741956744784,70.18913531873253,True,False,False,False,False,False,1,1,30,365,0,231,0,68.40246406570841,1,1
92.0,"(15.999, 102.0]",4.5217885770490405,145,1,5.0,1,-5480.830246124,1,1.0,1.0,1.0,54,1,1,0,0,0.9382724689414417,19.02829327999791,55.54426409272813,False,False,False,True,False,False,56,360,0,293,0,5913,4,137.5605749486653,1,1
250.0,"(180.0, 259.0]",5.521460917862246,155,1,2.0,1,-5482.562119735827,4,2.0,2.0,2.0,22,1,1,0,0,1.3139707939057508,20.329827081914022,54.96615936718646,False,False,False,True,False,False,3,60,29,304,0,5913,15,148.30390143737165,0,1
750.0,"(259.0, 1143.0]",6.620073206530356,155,0,1.0,1,-5491.1443152105,8,3.0,5.0,5.0,56,1,0,0,0,7.476486583122548,26.7724899823402,52.51523440504928,False,False,False,False,False,False,5,35,30,290,0,369,5,134.63655030800822,1,1
857.0,"(259.0, 1143.0]",6.75343791859778,155,0,1.0,1,-5490.479428005,2,1.0,1.0,1.0,25,1,0,0,0,7.341956766617685,26.539928335261365,51.83207475177556,False,False,False,False,False,False,1,36,29,89,1,978,0,125.3388090349076,1,1
